uniprot_acc	source	status
O95425	PDBe_ligand_sites	404
P51809	PDBe_ligand_sites	404
Q15431	PDBe_ligand_sites	200
P43405	PDBe_ligand_sites	200
Q16563	PDBe_ligand_sites	404
Q9BQG1	PDBe_ligand_sites	404
O43581	PDBe_ligand_sites	404
Q8NE79	PDBe_ligand_sites	404
P25103	PDBe_ligand_sites	200
P21452	PDBe_ligand_sites	404
P29371	PDBe_ligand_sites	404
P16422	PDBe_ligand_sites	200
P09758	PDBe_ligand_sites	200
P21731	PDBe_ligand_sites	200
Q13488	PDBe_ligand_sites	404
Q9Y4D2	PDBe_ligand_sites	404
Q8WWU5	PDBe_ligand_sites	404
Q9NQ34	PDBe_ligand_sites	404
P57738	PDBe_ligand_sites	404
Q13530	PDBe_ligand_sites	404
P13385	PDBe_ligand_sites	404
P51864	PDBe_ligand_sites	404
O75443	PDBe_ligand_sites	404
Q96PL2	PDBe_ligand_sites	404
Q02763	PDBe_ligand_sites	200
Q96F05	PDBe_ligand_sites	404
P02787	PDBe_ligand_sites	200
P10646	PDBe_ligand_sites	200
P48307	PDBe_ligand_sites	404
Q9UP52	PDBe_ligand_sites	404
P02786	PDBe_ligand_sites	200
P01135	PDBe_ligand_sites	200
P01137	PDBe_ligand_sites	200
P10600	PDBe_ligand_sites	200
Q15582	PDBe_ligand_sites	200
P36897	PDBe_ligand_sites	200
P37173	PDBe_ligand_sites	200
Q03167	PDBe_ligand_sites	404
P22735	PDBe_ligand_sites	404
P21980	PDBe_ligand_sites	200
P07204	PDBe_ligand_sites	200
P07996	PDBe_ligand_sites	200
P49746	PDBe_ligand_sites	404
P35443	PDBe_ligand_sites	404
P04216	PDBe_ligand_sites	200
P35590	PDBe_ligand_sites	404
P01033	PDBe_ligand_sites	200
P16035	PDBe_ligand_sites	200
P35625	PDBe_ligand_sites	200
Q99727	PDBe_ligand_sites	404
Q07157	PDBe_ligand_sites	200
Q9NQ90	PDBe_ligand_sites	404
Q9Y6L7	PDBe_ligand_sites	404
Q9Y490	PDBe_ligand_sites	404
Q15399	PDBe_ligand_sites	200
O60603	PDBe_ligand_sites	200
O15455	PDBe_ligand_sites	200
O00206	PDBe_ligand_sites	200
O60602	PDBe_ligand_sites	200
P30408	PDBe_ligand_sites	404
P41732	PDBe_ligand_sites	404
P19075	PDBe_ligand_sites	404
P48230	PDBe_ligand_sites	404
O14894	PDBe_ligand_sites	404
O43657	PDBe_ligand_sites	404
O14817	PDBe_ligand_sites	404
Q9BZW5	PDBe_ligand_sites	200
O15321	PDBe_ligand_sites	404
Q8IYR6	PDBe_ligand_sites	404
Q9UIK5	PDBe_ligand_sites	404
Q9UHN6	PDBe_ligand_sites	200
O15393	PDBe_ligand_sites	200
P57727	PDBe_ligand_sites	404
Q9NRS4	PDBe_ligand_sites	404
P05452	PDBe_ligand_sites	200
P01375	PDBe_ligand_sites	200
P98066	PDBe_ligand_sites	200
O00220	PDBe_ligand_sites	404
O14763	PDBe_ligand_sites	200
O14798	PDBe_ligand_sites	404
Q9UBN6	PDBe_ligand_sites	404
Q9Y6Q6	PDBe_ligand_sites	404
Q93038	PDBe_ligand_sites	200
Q92956	PDBe_ligand_sites	200
Q02223	PDBe_ligand_sites	404
Q9Y5U5	PDBe_ligand_sites	200
Q9NS68	PDBe_ligand_sites	404
P19438	PDBe_ligand_sites	200
P20333	PDBe_ligand_sites	200
P43489	PDBe_ligand_sites	200
P25942	PDBe_ligand_sites	200
P25445	PDBe_ligand_sites	200
O95407	PDBe_ligand_sites	200
P26842	PDBe_ligand_sites	200
P28908	PDBe_ligand_sites	404
Q07011	PDBe_ligand_sites	200
P50591	PDBe_ligand_sites	200
O14788	PDBe_ligand_sites	200
O43508	PDBe_ligand_sites	404
O75888	PDBe_ligand_sites	200
Q9Y275	PDBe_ligand_sites	200
O43557	PDBe_ligand_sites	200
O95150	PDBe_ligand_sites	200
Q9UNG2	PDBe_ligand_sites	200
P23510	PDBe_ligand_sites	200
P29965	PDBe_ligand_sites	200
P48023	PDBe_ligand_sites	200
P32970	PDBe_ligand_sites	200
P32971	PDBe_ligand_sites	404
P41273	PDBe_ligand_sites	200
Q13641	PDBe_ligand_sites	200
Q15661	PDBe_ligand_sites	200
P13693	PDBe_ligand_sites	200
P56180	PDBe_ligand_sites	404
P16562	PDBe_ligand_sites	404
P0DSE1	PDBe_ligand_sites	200
P14625	PDBe_ligand_sites	200
P0DSE2	PDBe_ligand_sites	200
O15165	PDBe_ligand_sites	404
Q13061	PDBe_ligand_sites	404
O43280	PDBe_ligand_sites	404
P34981	PDBe_ligand_sites	404
P11117	PDBe_ligand_sites	404
Q12816	PDBe_ligand_sites	404
P81408	PDBe_ligand_sites	404
P48995	PDBe_ligand_sites	200
Q13507	PDBe_ligand_sites	200
Q9UBN4	PDBe_ligand_sites	200
Q9UL62	PDBe_ligand_sites	200
Q9Y210	PDBe_ligand_sites	200
O94759	PDBe_ligand_sites	200
Q96PP4	PDBe_ligand_sites	404
P16473	PDBe_ligand_sites	200
Q9BXS4	PDBe_ligand_sites	404
Q9UBS9	PDBe_ligand_sites	404
P50607	PDBe_ligand_sites	200
P02746	PDBe_ligand_sites	200
Q07021	PDBe_ligand_sites	200
P10599	PDBe_ligand_sites	200
P14679	PDBe_ligand_sites	404
Q06418	PDBe_ligand_sites	200
O43914	PDBe_ligand_sites	200
P17643	PDBe_ligand_sites	200
Q16222	PDBe_ligand_sites	200
P15309	PDBe_ligand_sites	200
P58499	PDBe_ligand_sites	404
Q9HAW9	PDBe_ligand_sites	404
Q16880	PDBe_ligand_sites	404
P07911	PDBe_ligand_sites	200
Q5DID0	PDBe_ligand_sites	404
Q6ZN44	PDBe_ligand_sites	200
Q8IZJ1	PDBe_ligand_sites	404
O95185	PDBe_ligand_sites	404
Q86WB7	PDBe_ligand_sites	404
O00322	PDBe_ligand_sites	404
O75841	PDBe_ligand_sites	404
O00526	PDBe_ligand_sites	404
O75631	PDBe_ligand_sites	404
P10323	PDBe_ligand_sites	404
O75445	PDBe_ligand_sites	404
P58418	PDBe_ligand_sites	404
P54578	PDBe_ligand_sites	200
P46939	PDBe_ligand_sites	404
P63027	PDBe_ligand_sites	404
O95183	PDBe_ligand_sites	404
Q9BV40	PDBe_ligand_sites	404
Q9P0L0	PDBe_ligand_sites	200
O95292	PDBe_ligand_sites	404
P19320	PDBe_ligand_sites	404
P21796	PDBe_ligand_sites	200
Q8WU66	PDBe_ligand_sites	404
P49765	PDBe_ligand_sites	200
P15311	PDBe_ligand_sites	200
P08670	PDBe_ligand_sites	200
P32241	PDBe_ligand_sites	200
P41587	PDBe_ligand_sites	404
P98155	PDBe_ligand_sites	200
P26436	PDBe_ligand_sites	404
O76090	PDBe_ligand_sites	200
O95497	PDBe_ligand_sites	200
O95498	PDBe_ligand_sites	404
P12018	PDBe_ligand_sites	200
Q9UKI3	PDBe_ligand_sites	404
Q8NER1	PDBe_ligand_sites	200
P62760	PDBe_ligand_sites	404
P04004	PDBe_ligand_sites	200
P23381	PDBe_ligand_sites	200
Q9Y6W5	PDBe_ligand_sites	404
Q9GZY6	PDBe_ligand_sites	404
O76024	PDBe_ligand_sites	404
O76076	PDBe_ligand_sites	404
O95389	PDBe_ligand_sites	404
P04628	PDBe_ligand_sites	404
Q93097	PDBe_ligand_sites	404
P56703	PDBe_ligand_sites	200
P56705	PDBe_ligand_sites	404
P41221	PDBe_ligand_sites	200
O00755	PDBe_ligand_sites	200
P56706	PDBe_ligand_sites	404
P55808	PDBe_ligand_sites	404
P51811	PDBe_ligand_sites	404
O43895	PDBe_ligand_sites	404
Q9UBH6	PDBe_ligand_sites	200
P13010	PDBe_ligand_sites	200
P54577	PDBe_ligand_sites	200
Q9Y493	PDBe_ligand_sites	404
Q9NY26	PDBe_ligand_sites	404
Q8TCY5	PDBe_ligand_sites	404
Q9Y508	PDBe_ligand_sites	404
Q9Y519	PDBe_ligand_sites	404
P01024	PDBe_ligand_sites	200
P60852	PDBe_ligand_sites	404
Q05996	PDBe_ligand_sites	200
P21754	PDBe_ligand_sites	404
Q16581	PDBe_ligand_sites	200
Q9H324	PDBe_ligand_sites	404
Q9P2N4	PDBe_ligand_sites	404
Q9NY35	PDBe_ligand_sites	404
P0C0L4	PDBe_ligand_sites	200
Q9UK28	PDBe_ligand_sites	404
Q9HDC9	PDBe_ligand_sites	404
P58658	PDBe_ligand_sites	404
Q8WVP7	PDBe_ligand_sites	404
Q9UJ99	PDBe_ligand_sites	404
Q9UBR5	PDBe_ligand_sites	404
Q9UMR7	PDBe_ligand_sites	200
Q8WTT0	PDBe_ligand_sites	200
Q9NRD8	PDBe_ligand_sites	404
P0DPD6	PDBe_ligand_sites	404
Q96HE7	PDBe_ligand_sites	200
Q9BXB1	PDBe_ligand_sites	200
Q6S545	PDBe_ligand_sites	404
Q9BZJ8	PDBe_ligand_sites	200
Q9BZJ7	PDBe_ligand_sites	404
Q9BZJ6	PDBe_ligand_sites	404
Q9H1C0	PDBe_ligand_sites	200
Q9NZH0	PDBe_ligand_sites	404
Q9NQ84	PDBe_ligand_sites	404
P01031	PDBe_ligand_sites	200
Q9NZD1	PDBe_ligand_sites	200
Q96QA5	PDBe_ligand_sites	404
Q13325	PDBe_ligand_sites	200
Q9NZS2	PDBe_ligand_sites	200
Q14210	PDBe_ligand_sites	404
Q9GZU1	PDBe_ligand_sites	200
Q8IZK6	PDBe_ligand_sites	200
Q8TDD5	PDBe_ligand_sites	200
Q96PG2	PDBe_ligand_sites	404
Q9NXJ0	PDBe_ligand_sites	404
Q96JQ5	PDBe_ligand_sites	404
Q9H3V2	PDBe_ligand_sites	404
Q9H2W1	PDBe_ligand_sites	404
Q9GZW8	PDBe_ligand_sites	404
P21730	PDBe_ligand_sites	200
Q9BY19	PDBe_ligand_sites	404
Q9H195	PDBe_ligand_sites	404
Q14112	PDBe_ligand_sites	404
P13671	PDBe_ligand_sites	200
Q9NP85	PDBe_ligand_sites	404
Q15738	PDBe_ligand_sites	200
Q86T20	PDBe_ligand_sites	404
Q9P2E7	PDBe_ligand_sites	200
Q96QS1	PDBe_ligand_sites	404
Q9NZK7	PDBe_ligand_sites	200
Q96MS0	PDBe_ligand_sites	200
Q8IWY4	PDBe_ligand_sites	404
O95528	PDBe_ligand_sites	404
Q6PXP3	PDBe_ligand_sites	200
Q9NRM0	PDBe_ligand_sites	200
Q9H2H9	PDBe_ligand_sites	404
Q96QD8	PDBe_ligand_sites	404
Q9H156	PDBe_ligand_sites	404
P10643	PDBe_ligand_sites	200
Q9NRX5	PDBe_ligand_sites	404
O75509	PDBe_ligand_sites	200
Q9H313	PDBe_ligand_sites	200
Q9NQS1	PDBe_ligand_sites	404
Q9NZA1	PDBe_ligand_sites	200
Q9Y696	PDBe_ligand_sites	404
P07357	PDBe_ligand_sites	200
Q9H2X3	PDBe_ligand_sites	200
P53801	PDBe_ligand_sites	404
Q9UQF0	PDBe_ligand_sites	200
P07358	PDBe_ligand_sites	200
Q9Y2Q0	PDBe_ligand_sites	200
Q9NTI2	PDBe_ligand_sites	404
P98198	PDBe_ligand_sites	404
Q8TF62	PDBe_ligand_sites	404
Q6RW13	PDBe_ligand_sites	404
P07360	PDBe_ligand_sites	200
Q9GZP7	PDBe_ligand_sites	404
Q9P241	PDBe_ligand_sites	404
P98196	PDBe_ligand_sites	404
Q9Y2G3	PDBe_ligand_sites	404
Q8NB49	PDBe_ligand_sites	200
Q9BYF1	PDBe_ligand_sites	200
O94905	PDBe_ligand_sites	200
Q9BQ16	PDBe_ligand_sites	404
Q9Y6R7	PDBe_ligand_sites	200
P02748	PDBe_ligand_sites	200
Q9NQ60	PDBe_ligand_sites	404
Q96FV3	PDBe_ligand_sites	404
Q8N6M6	PDBe_ligand_sites	404
Q9P0K9	PDBe_ligand_sites	404
Q9H2J7	PDBe_ligand_sites	404
Q9GZN6	PDBe_ligand_sites	404
Q9BXT2	PDBe_ligand_sites	404
P62955	PDBe_ligand_sites	404
Q8WXS5	PDBe_ligand_sites	404
Q9H330	PDBe_ligand_sites	404
Q969L2	PDBe_ligand_sites	404
Q9BX97	PDBe_ligand_sites	404
Q86VI4	PDBe_ligand_sites	404
Q9UGQ2	PDBe_ligand_sites	404
Q8IX30	PDBe_ligand_sites	404
Q9HB63	PDBe_ligand_sites	404
Q9UPN3	PDBe_ligand_sites	200
Q96JQ0	PDBe_ligand_sites	200
Q9NS85	PDBe_ligand_sites	404
O75493	PDBe_ligand_sites	404
Q8N6P7	PDBe_ligand_sites	200
Q14656	PDBe_ligand_sites	404
O15218	PDBe_ligand_sites	404
O43570	PDBe_ligand_sites	200
Q9UJA9	PDBe_ligand_sites	200
Q9ULX7	PDBe_ligand_sites	200
Q86Y34	PDBe_ligand_sites	200
Q7L5Y9	PDBe_ligand_sites	200
Q9H251	PDBe_ligand_sites	200
P49795	PDBe_ligand_sites	404
Q9NY99	PDBe_ligand_sites	404
Q9C0B6	PDBe_ligand_sites	404
P98173	PDBe_ligand_sites	404
P22748	PDBe_ligand_sites	200
Q9BXM9	PDBe_ligand_sites	404
Q969Z4	PDBe_ligand_sites	404
Q8TDY8	PDBe_ligand_sites	404
Q8IYD9	PDBe_ligand_sites	404
Q9GZZ6	PDBe_ligand_sites	404
Q6U841	PDBe_ligand_sites	200
Q9NY64	PDBe_ligand_sites	404
Q9H427	PDBe_ligand_sites	404
P54707	PDBe_ligand_sites	404
Q9H2X9	PDBe_ligand_sites	200
Q9NYB5	PDBe_ligand_sites	200
Q9GZZ7	PDBe_ligand_sites	404
Q8TDF5	PDBe_ligand_sites	404
Q16790	PDBe_ligand_sites	200
Q9UHC6	PDBe_ligand_sites	200
Q9BZ76	PDBe_ligand_sites	404
Q86SQ6	PDBe_ligand_sites	404
Q8IWK6	PDBe_ligand_sites	404
Q86SQ4	PDBe_ligand_sites	200
P58215	PDBe_ligand_sites	404
Q9BSA4	PDBe_ligand_sites	200
O00555	PDBe_ligand_sites	200
B0I1T2	PDBe_ligand_sites	404
Q9H172	PDBe_ligand_sites	404
Q9H222	PDBe_ligand_sites	200
Q9H221	PDBe_ligand_sites	200
Q00975	PDBe_ligand_sites	200
Q13936	PDBe_ligand_sites	200
Q01668	PDBe_ligand_sites	200
O95445	PDBe_ligand_sites	200
Q15878	PDBe_ligand_sites	200
O60840	PDBe_ligand_sites	404
Q8NDX9	PDBe_ligand_sites	404
Q5SRR4	PDBe_ligand_sites	404
Q5SQ64	PDBe_ligand_sites	404
O95868	PDBe_ligand_sites	404
