therapeutic	target_annotation	arm_group	component	status	candidate_hgnc_ids	exclusion_reference
Tabalumab	TNFSF13B/CD257/BAFF	0	TNFSF13B/CD257/BAFF	approved_symbol	HGNC:11929	
Tabirafusp	IL6	0	IL6	approved_symbol	HGNC:6018	
Tabituximab	FZD10/CD350	0	FZD10/CD350	approved_symbol	HGNC:4039	
Tacatuzumab	Alpha Ferroprotein	0	Alpha Ferroprotein	unresolved_or_nonprotein		
Tadocizumab	ITGA2B and ITGB3	0	ITGA2B	complex_target_not_direct_subunit	HGNC:6138	
Tadocizumab	ITGA2B and ITGB3	0	ITGB3	complex_target_not_direct_subunit	HGNC:6156	
Tafasitamab	CD19	0	CD19	approved_symbol	HGNC:1633	
Tafolecimab	PCSK9	0	PCSK9	approved_symbol	HGNC:20001	
Tagitanlimab	PDL1/CD274	0	PDL1/CD274	approved_symbol	HGNC:17635	
Talacotuzumab	IL3RA/CD123	0	IL3RA/CD123	approved_symbol	HGNC:6012	
Talizumab	IgE	0	IgE	unresolved_or_nonprotein		
Talquetamab	GPRC5D;CD3E	0	GPRC5D	approved_symbol	HGNC:13310	
Talquetamab	GPRC5D;CD3E	1	CD3E	approved_symbol	HGNC:1674	
Tamgiblimab	TIGIT/WUCAM/VSTM3	0	TIGIT/WUCAM/VSTM3	approved_symbol	HGNC:26838	
Tamrintamab	DPEP3	0	DPEP3	approved_symbol	HGNC:23029	
Tamtuvetmab	CD52	0	CD52	nonhuman_target	HGNC:1804	
Tanezumab	NGFB	0	NGFB	unique_alias	HGNC:7808	
Tanruprubart	C1q	0	C1q	unresolved_or_nonprotein		
Tarcocimab	VEGFA	0	VEGFA	approved_symbol	HGNC:12680	
Tarextumab	NOTCH2 and NOTCH3	0	NOTCH2	approved_symbol	HGNC:7882	
Tarextumab	NOTCH2 and NOTCH3	0	NOTCH3	approved_symbol	HGNC:7883	
Tarlatamab	DLL3;CD3E	0	DLL3	approved_symbol	HGNC:2909	
Tarlatamab	DLL3;CD3E	1	CD3E	approved_symbol	HGNC:1674	
Tarperprumig	ALB;CFP	0	ALB	approved_symbol	HGNC:399	
