source	gene	pmid	pmc_id	doi	year	bucket	title
production	KCNA10	41458378	PMC12738813	10.3389/fphys.2025.1677518	2025	pmc	Combined effect of esaxerenone and dapagliflozin on aldosterone-mediated sodium reabsorption and pot
production	KCNA10	35081969	PMC8790845	10.1186/s12917-022-03157-z	2022	pmc	Case report of enterobacter hormaechei in sheep with respiratory disease and death
production	KCNA10	40860865	PMC12375644	10.3389/fphar.2025.1653356	2025	pmc	Escalated oxycodone self-administration is associated with expression of voltage gated and calcium a
production	KCNA10	36422036	PMC9697831	10.3390/jof8111215	2022	pmc	Recombinant Expression in <i>Pichia pastoris</i> System of Three Potent Kv1.3 Channel Blockers: Vm24
production	KCNA10	33870197	PMC8020223	10.1177/26331055211007441	2021	pmc	Receptors and Channels Associated with Alcohol Use: Contributions from <i>Drosophila</i>
production	KCNA10	28151423	PMC5539407	10.1152/physrev.00011.2016	2017	no_oa	Ammonia Transporters and Their Role in Acid-Base Balance
production	KCNA10	34681946	PMC8539251	10.3390/ijms222011287	2021	pmc	Peimine, an Anti-Inflammatory Compound from Chinese Herbal Extracts, Modulates Muscle-Type Nicotinic
production	KCNA10	28514442	PMC5531611	10.1038/nature22366	2017	pmc	Architecture of the human interactome defines protein communities and disease networks
production	KCNA10	40119575	PMC11928678	10.14814/phy2.70236	2025	pmc	Effects of moderate static magnetic fields on voltage-gated potassium ion channels in sympathetic ne
production	NMUR1	37708282		10.1126/science.ade4177	2023	no_oa	Neuromedin U programs eosinophils to promote mucosal immunity of the small intestine
production	NMUR1	29168691	PMC5700813	10.7554/elife.27434	2017	pmc	A recombinant BBSome core complex and how it interacts with ciliary cargo
production	NMUR1	41693122	PMC12991035	10.1002/anie.202524282	2026	pmc	Controlled Synthesis of a New Class of Heterostructured Metal Oxides (Cerium, Thorium, Uranium)/Calc
production	NMUR1	40360848	PMC12075566	10.1038/s42003-025-07943-x	2025	pmc	Identification of druggable binding sites and small molecules as modulators of TMC1
production	NMUR1	40469000	PMC12204324	10.1210/endocr/bqaf102	2025	pmc	Neuromedin U Deficiency Disrupts Daily Testosterone Fluctuation and Reduces Wheel-Running Activity i
production	NMUR1	39736074	PMC11694771	10.12659/ajcr.945804	2024	pmc	B-Acute Lymphoblastic Leukemia/Lymphoblastic Lymphoma Mimicking Fibrosing Mediastinitis: A Case Repo
production	NMUR1	37680634	PMC10482236	10.3389/fimmu.2023.1274761	2023	no_oa	Editorial: The gut-immune axis: a complex training ground impacting inflammatory pathologies
production	NMUR1	40986224	PMC12457634	10.1007/s40520-025-03119-z	2025	pmc	World Congress on Osteoporosis, Osteoarthritis and Musculoskeletal Diseases (WCO-IOF-ESCEO 2025)
production	NMUR1	38925790	PMC11216688	10.1183/16000617.0008-2024	2024	pmc	Neuroimmune recognition and regulation in the respiratory system
production	NMUR1	37696890	PMC10545775	10.1038/s12276-023-01021-0	2023	pmc	The modulation of pulmonary group 2 innate lymphoid cell function in asthma: from inflammatory media
production	NAIF1	32814053		10.1016/j.celrep.2020.108050	2020	bot_blocked	Interactome Mapping Provides a Network of Neurodegenerative Disease Proteins and Uncovers Widespread
production	NAIF1	20133760	PMC2823922	10.1073/pnas.0912599106	2010	no_oa	Streamlined analysis schema for high-throughput identification of endogenous protein complexes
production	NAIF1	40760609	PMC12323976	10.1097/md.0000000000043613	2025	pmc	Mendelian randomization reveals causal circulatory microRNAs in prostate cancer pathogenesis and pro
production	NAIF1	34638535	PMC8507973	10.3390/ijms221910181	2021	pmc	Transcriptomic Analysis Reveals Differential Expression of Genes between Lung Capillary and Post Cap
production	NAIF1	32292403	PMC7118206	10.3389/fimmu.2020.00446	2020	pmc	Expression of IL-33 Receptor Is Significantly Up-Regulated in B Cells During Pregnancy and in the Ac
production	NAIF1	34831175	PMC8616336	10.3390/cells10112952	2021	pmc	The Evolutionary Volte-Face of Transposable Elements: From Harmful Jumping Genes to Major Drivers of
production	NAIF1	36262888	PMC9576141	10.3389/fnagi.2022.965943	2022	pmc	Proteomic analysis of s-acylated proteins in human retinal pigment epithelial cells and the role of 
