source	feature	feature_type	in_n	out_n	in_summary	out_summary	effect	effect_kind	effect_ci_lo	effect_ci_hi	aux_effect	aux_effect_kind	aux_effect_ci_lo	aux_effect_ci_hi	p_value	q_value
uniprot	up_topo_extracellular_count	continuous	3091	919	2.0	0.0	0.9331151656904157	cliffs_delta			2.488986770183646	mean_diff			0.0	0.0
go	up_has_signal	binary	1599	2411	0.43277048155096937	0.33844877644131066	0.0943217051096587	prop_diff			0.3995302052302661	log_or	0.26955583498177516	0.5295045754787571	1.9920394238871868e-09	5.09269209237246e-09
go	up_has_tm	binary	1599	2411	0.7235772357723578	0.8473662380754874	-0.12378900230312961	prop_diff			-0.7514012698625357	log_or	-0.9073029594148971	-0.5954995803101744	3.1634596377275836e-21	1.0568831062408064e-20
go	up_multi_pass	binary	1599	2411	0.34834271419637275	0.5275819162173372	-0.17923920202096444	prop_diff			-0.7363083500776215	log_or	-0.8665619206269826	-0.6060547795282605	3.9543511640951916e-29	1.6374355524563188e-28
go	up_has_extracellular_topo	binary	1599	2411	0.6529080675422139	0.7772708419742845	-0.12436277443207067	prop_diff			-0.617743504257213	log_or	-0.7584206744473437	-0.4770663340670823	9.613574454487469e-18	3.006798818743953e-17
go	up_has_glyc	binary	1599	2411	0.651031894934334	0.7005391953546246	-0.04950730042029061	prop_diff			-0.2263078439759861	log_or	-0.36105892100288445	-0.09155676694908776	0.0010180128048772126	0.0017102615121937172
go	up_has_lipidation	binary	1599	2411	0.13070669168230145	0.0941518042306097	0.03655488745169175	prop_diff			0.3692970756886584	log_or	0.169936935101247	0.5686572162760698	0.00034238743011753446	0.0005991780027056853
go	deeptm_TM_NO_SP	binary	964	1381	0.3682572614107884	0.4721216509775525	-0.10386438956676408	prop_diff			-0.42756547091203884	log_or	-0.5956804372413345	-0.25945050458274316	5.609194283709541e-07	1.2588573430615307e-06
go	deeptm_SP_plus_TM	binary	964	1381	0.5643153526970954	0.47356987690079655	0.09074547579629888	prop_diff			0.3641658766557054	log_or	0.19881431378572487	0.5295174395256859	1.535088649027359e-05	3.178282132493265e-05
go	deeptm_SP_only	binary	964	1381	0.06535269709543569	0.0499637943519189	0.015388902743516786	prop_diff			0.28534210515030634	log_or	-0.0653154678178614	0.635999678118474	0.12171425651093942	0.1626545064282554
go	deeptm_BETA	binary	964	1381	0.0	0.000724112961622013	-0.000724112961622013	prop_diff			-0.7400210896436844	log_or	-3.941744441669505	2.461702262382136	1.0	1.0
go	deeptm_GLOB	binary	964	1381	0.002074688796680498	0.003620564808110065	-0.0015458760114295672	prop_diff			-0.43069210194354746	log_or	-1.9279879465746068	1.066603742687512	0.7070958267398246	0.7874476252329865
go	topo_gpi_anchored	binary	1599	2411	0.04252657911194497	0.02986312733305682	0.012663451778888148	prop_diff			0.36693676744099146	log_or	0.0304552838971493	0.7034182509848337	0.035002763307249815	0.05094461590263092
go	topo_intramembrane	binary	1599	2411	0.0	0.0	0.0	prop_diff			0.41055788011945393	log_or	-3.509951625535233	4.331067385774141	1.0	1.0
go	topo_gpcr_7tm	binary	1599	2411	0.05128205128205128	0.3015346329323932	-0.2502525816503419	prop_diff			-2.072411165792058	log_or	-2.310439501221523	-1.834382830362593	5.596219707766342e-96	5.4842953136110154e-95
go	topo_multi_pass_tm	binary	1599	2411	0.2970606629143214	0.226047283284944	0.07101337962937743	prop_diff			0.3693906036675876	log_or	0.22587796033850494	0.5129032469966702	5.589701975533569e-07	1.2588573430615307e-06
go	topo_single_pass_tm	binary	1599	2411	0.37273295809881174	0.31978432185815014	0.052948636240661595	prop_diff			0.2342497538995188	log_or	0.1016241459692965	0.3668753618297411	0.0005882509775917272	0.0010054987640230686
go	topo_signal_only_secreted	binary	1599	2411	0.025015634771732333	0.018664454583160513	0.006351180188571819	prop_diff			0.3006364614540334	log_or	-0.1275828391895963	0.728855762097663	0.18008996021085139	0.23531754800884583
go	topo_inner_leaflet_lipidated	binary	1599	2411	0.03314571607254534	0.01783492326835338	0.015310792804191963	prop_diff			0.6331832460460046	log_or	0.22793731237000037	1.0384291797220089	0.0021723544453348207	0.003528575728886394
go	topo_palmitoylated_only	binary	1599	2411	0.015634771732332707	0.008710078805474907	0.0069246929268578	prop_diff			0.5881903045558421	log_or	0.010802251634724147	1.16557835747696	0.04916383737574833	0.06949119321379812
go	topo_no_tm_no_signal	binary	1599	2411	0.16260162601626016	0.07756117793446703	0.08504044808179313	prop_diff			0.8360597770443892	log_or	0.636484117309379	1.0356354367793994	1.8077666279529776e-16	5.479210191939952e-16
