gene_symbol	uniprot_id	uniprot_name	label_source	surfaceome_label	internal_compartment_hint	uniprot_subcellular	has_cell_membrane_uniprot	has_gpi_uniprot	max_tpm_gtex	max_ntpm_hpa_tissue	max_tpm_hpa_celline	max_tpm_tcga	max_expression_any
SCN3B	Q9NY72	SCN3B_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	57.8814	73.3	73.9	199.90805346599845	199.90805346599845
CATSPERG	Q6ZRH7	CTSRG_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	84.8194	30.6	7.5	199.3821940084644	199.3821940084644
SIGLEC15	Q6ZMC9	SIG15_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	2.776	2.8	199.1	127.83939847491526	199.1
SLC43A2	Q8N370	LAT4_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	48.7988	55.0	29.6	199.00939783410692	199.00939783410692
MERTK	Q12866	MERTK_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	61.4778	89.9	75.0	198.968019087642	198.968019087642
NIPAL2	Q9H841	NPAL2_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	61.8785	50.1	41.1	198.6372986943632	198.6372986943632
SLC15A4	Q8N697	S15A4_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	92.2825	36.2	66.6	197.96378378618144	197.96378378618144
RGR	P47804	RGR_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	5.19666	129.0	104.5	196.99192418059036	196.99192418059036
CD80	P33681	CD80_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	75.1337	6.4	196.5	58.5815870507187	196.5
TPBGL	P0DKB5	TPBGL_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	11.2318	4.1	13.6	194.778765222404	194.778765222404
LILRA1	O75019	LIRA1_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	35.7009	13.2	9.6	194.57635389862597	194.57635389862597
IL18RAP	O95256	I18RA_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	191.228	101.8	42.0	47.100464096847595	191.228
PLXDC2	Q6UX71	PXDC2_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	62.1641	28.7	79.1	191.22037650682492	191.22037650682492
IL22RA1	Q8N6P7	I22R1_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	145.233	189.0	45.8	155.3190213022064	189.0
