gene_symbol	gene_symbol_aliases	matched_surfaceome_gene_symbol	lookup_match_source	lookup_match_input_symbol	target_name	control_class	control_group	is_pinned_specified_negative	in_m1_candidate_universe	matched_m1_gene_symbol	m1_match_source	in_parent_surfaceome_2379	surfaceome_label	label_source	uniprot_id	has_cell_membrane_uniprot	passes_topology_gate	uniprot_subcellular	provenance	source_note
IL2RA		IL2RA	direct_symbol	IL2RA	IL-2 receptor alpha (IL2RA/CD25)	positive_surfaceome	patent_delivery_handles	no	yes	IL2RA	direct_symbol	yes	surface	machine learning	P01589	False	True	Membrane (Single-pass type I membrane protein)	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Added per KineTAC IL-2 cytokine arm targeting.
IL4R		IL4R	direct_symbol	IL4R	IL-4 receptor alpha (IL4R)	positive_surfaceome	patent_delivery_handles	no	yes	IL4R	direct_symbol	yes	surface	pos. trainingset	P24394	True	True	Cell membrane (Single-pass type I membrane protein);Secreted	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Added per KineTAC IL-4 cytokine arm targeting.
IL7R		IL7R	direct_symbol	IL7R	IL-7 receptor alpha (IL7R)	positive_surfaceome	patent_delivery_handles	no	yes	IL7R	direct_symbol	yes	surface	pos. trainingset	P16871	True	True	Cell membrane (Single-pass type I membrane protein);Cell membrane (Single-pass type I membrane protein);Secreted	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Added per KineTAC IL-7 cytokine arm targeting.
ITGB1		ITGB1	direct_symbol	ITGB1	ITGB1	positive_surfaceome	patent_delivery_handles	no	yes	ITGB1	direct_symbol	yes	surface	pos. trainingset	P05556	True	True	Cell membrane (Single-pass type I membrane protein);Cell projection, invadopodium membrane (Single-pass type I membrane protein);Cell projection, lamellipodium;Cell projection, ruffle;Cell projection, ruffle membrane (Single- pass type I membrane protein);Cleavage furrow;Melanosome;Recycling endosome;Cell junction;Cell membrane, sarcolemma	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Broader handle list in WO2024036333A2.
ITGB6		ITGB6	direct_symbol	ITGB6	ITGB6	positive_surfaceome	patent_delivery_handles	no	yes	ITGB6	direct_symbol	yes	surface	machine learning	P18564	False	True	Membrane (Single-pass type I membrane protein)	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Broader handle list in WO2024036333A2.
KAAG1			unmatched		KAAG1	positive_surfaceome	patent_delivery_handles	no	no		unmatched	no							canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Broader handle list in WO2024036333A2.
LGR5		LGR5	direct_symbol	LGR5	LGR5	positive_surfaceome	patent_delivery_handles	no	yes	LGR5	direct_symbol	yes	surface	pos. trainingset	O75473	True	True	Cell membrane (Multi-pass membrane protein);Golgi apparatus, trans-Golgi network membrane (Multi-pass membrane protein)	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Highlight/broader handle list in WO2024036333A2.
LRRC15		LRRC15	direct_symbol	LRRC15	LRRC15	positive_surfaceome	patent_delivery_handles	no	yes	LRRC15	direct_symbol	yes	surface	machine learning	Q8TF66	False	True	Membrane (Single-pass type I membrane protein)	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Broader handle list in WO2024036333A2.
LY6E		LY6E	direct_symbol	LY6E	LY6E	positive_surfaceome	patent_delivery_handles	no	yes	LY6E	direct_symbol	yes	surface	GPI (UniProt)	Q16553	True	True	Cell membrane (Lipid-anchor, GPI-anchor)	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Broader handle list in WO2024036333A2.
LY6G6D		LY6G6D	direct_symbol	LY6G6D	LY6G6D	positive_surfaceome	patent_delivery_handles	no	yes	LY6G6D	direct_symbol	yes	surface	GPI (UniProt)	O95868	True	True	Cell membrane (Lipid-anchor, GPI-anchor);Cell projection, filopodium	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Broader handle list in WO2024036333A2.
