gene_symbol	uniprot_id	uniprot_name	surfaceome_label	label_source	already_in_control_panel	internal_compartment_hint	has_cell_membrane_uniprot	has_gpi_uniprot	is_only_secreted_uniprot	uniprot_subcellular	max_tpm_gtex	max_ntpm_hpa_tissue	max_tpm_hpa_celline	max_tpm_tcga	max_expression_any
ANTXRL	A6NF34	ANTRL_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Single-pass type I membrane protein)	36.4958	12.0	9.0	79.5495499975222	79.5495499975222
SCN2A	Q99250	SCN2A_HUMAN	surface	machine learning	False	False	True	False	False	Cell membrane (Multi-pass membrane protein)	69.4963	67.0	53.2	79.18096692147965	79.18096692147965
SCARF1	Q14162	SREC_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Single-pass type I membrane protein)	74.2705	25.8	29.6	79.15901606180645	79.15901606180645
LRRC4C	Q9HCJ2	LRC4C_HUMAN	surface	machine learning	False	False	True	False	False	Cell junction, synapse, postsynaptic cell membrane (Single-pass type I membrane protein)	12.4376	19.4	29.1	78.5523011513045	78.5523011513045
SLC5A7	Q9GZV3	SC5A7_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Multi-pass membrane protein)	3.31921	2.6	77.6	39.39016007419893	77.6
BMPR1A	P36894	BMR1A_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Single-pass type I membrane protein)	29.392	17.9	42.2	77.57830788640607	77.57830788640607
BTN2A1	Q7KYR7	BT2A1_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Single-pass type I membrane protein)	77.119	35.4	70.7	65.01847491364842	77.119
PCDHGA7	Q9Y5G6	PCDG7_HUMAN	surface	machine learning	False	False	True	False	False	Cell membrane (Single-pass type I membrane protein)	3.22037	3.9	36.6	76.80781569666783	76.80781569666783
DCHS2	Q6V1P9	PCD23_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Single-pass membrane protein)	2.60103	1.5	6.2	76.6907773657228	76.6907773657228
LSMEM1	Q8N8F7	LSME1_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Single-pass membrane protein)	10.0035	76.4	2.6	32.38952618877299	76.4
